Nazwa,Znizka %,Cena,Cena pierwotna,Tagi,Opinie,% pozytywnych,AppID,Link
House of 1000 Doors: Family Secrets,70,"1,70€","5,69€","Adventure, Casual, Indie, Hidden Object",Very Positive,97,1151630,https://store.steampowered.com/app/1151630/House_of_1000_Doors_Family_Secrets/
Battle Bears -1,70,"0,71€","2,39€","Action, Casual, Shooter, Survival",Very Positive,97,1482340,https://store.steampowered.com/app/1482340/Battle_Bears_1/
I commissioned some cats,70,"1,19€","3,99€","Casual, Hidden Object, Cats, Cute",Very Positive,97,2300390,https://store.steampowered.com/app/2300390/I_commissioned_some_cats/
I commissioned some bunnies,70,"1,19€","3,99€","Hidden Object, Cute, Puzzle, Casual",Very Positive,97,2250340,https://store.steampowered.com/app/2250340/I_commissioned_some_bunnies/
Ribbit Ranch,70,"1,76€","5,89€","Creature Collector, Idler, Simulation, Relaxing",Very Positive,97,3754430,https://store.steampowered.com/app/3754430/Ribbit_Ranch/
Island Diary,70,"4,94€","16,49€","Casual, Visual Novel, Dating Sim, Sexual Content",Very Positive,97,1559760,https://store.steampowered.com/app/1559760/Island_Diary/
Lotion samurai,70,"0,59€","1,99€","Action, Casual, Ninja, 2D",Very Positive,97,1291370,https://store.steampowered.com/app/1291370/Lotion_samurai/
I commissioned some bees 3,70,"0,59€","1,99€","Casual, Singleplayer, 2D, Abstract",Very Positive,97,2069110,https://store.steampowered.com/app/2069110/I_commissioned_some_bees_3/
I commissioned some bees 4,70,"0,59€","1,99€","Casual, Singleplayer, 2D, Abstract",Very Positive,97,2086180,https://store.steampowered.com/app/2086180/I_commissioned_some_bees_4/
The Last Craftsman,70,"2,92€","9,75€","Adventure, RPG, Simulation, Card Game",Very Positive,97,2238440,https://store.steampowered.com/app/2238440/The_Last_Craftsman/
Bella Wants Blood,70,"1,49€","4,99€","Tower Defense, Roguelike, Horror, Funny",Very Positive,96,3007660,https://store.steampowered.com/app/3007660/Bella_Wants_Blood/
12 Labours of Hercules VIII: How I Met Megara,70,"0,71€","2,39€","Strategy, Adventure, Time Management, Casual",Very Positive,96,938310,https://store.steampowered.com/app/938310/12_Labours_of_Hercules_VIII_How_I_Met_Megara/
Dream Swing,70,"0,94€","3,15€","Precision Platformer, Indie, Relaxing, First-Person",Very Positive,96,1860350,https://store.steampowered.com/app/1860350/Dream_Swing/
Justin Wack and the Big Time Hack,70,"5,99€","19,99€","Point & Click, Adventure, Singleplayer, 2D",Very Positive,96,1131670,https://store.steampowered.com/app/1131670/Justin_Wack_and_the_Big_Time_Hack/
I commissioned some bees 2,70,"0,59€","1,99€","Casual, 2D, Point & Click, Puzzle",Very Positive,96,2027000,https://store.steampowered.com/app/2027000/I_commissioned_some_bees_2/
KoroNeko,70,"2,63€","8,79€","Casual, Adventure, Puzzle, Cute",Very Positive,96,2543350,https://store.steampowered.com/app/2543350/KoroNeko/
Sheep,70,"0,89€","2,99€","Strategy, Puzzle Platformer, Puzzle, Farming Sim",Very Positive,96,1644750,https://store.steampowered.com/app/1644750/Sheep/
I commissioned some bees 5,70,"0,59€","1,99€","Casual, 2D, Abstract, Cartoon",Very Positive,96,2087470,https://store.steampowered.com/app/2087470/I_commissioned_some_bees_5/
GolfTopia,70,"5,03€","16,79€","Strategy, Sandbox, Golf, Simulation",Very Positive,95,1144020,https://store.steampowered.com/app/1144020/GolfTopia/
LuckLand,70,"2,63€","8,79€","Roguelike Deckbuilder, Deckbuilding, Roguelite, Strategy",Very Positive,95,2516820,https://store.steampowered.com/app/2516820/LuckLand/
The Jolly Gang's Misadventures in Africa / Масяня в полной Африке,70,"1,70€","5,69€","Adventure, Indie, Casual, Point & Click",Very Positive,95,1048920,https://store.steampowered.com/app/1048920/The_Jolly_Gangs_Misadventures_in_Africa__Masyanya_v_polnoj_Afrike/
LumbearJack,70,"3,83€","12,79€","Casual, Cute, Funny, Adventure",Very Positive,95,1582290,https://store.steampowered.com/app/1582290/LumbearJack/
RGB Rush,70,"1,49€","4,99€","Casual, Design & Illustration, Education, Trivia",Very Positive,95,1952760,https://store.steampowered.com/app/1952760/RGB_Rush/
Heroes of Hellas 3: Athens,70,"0,89€","2,99€","Casual, Strategy, Match 3, Singleplayer",Very Positive,95,347590,https://store.steampowered.com/app/347590/Heroes_of_Hellas_3_Athens/
Outdoor Adventures With Marisa Kirisame,70,"1,49€","4,99€","Casual, Visual Novel, Anime, Colorful",Very Positive,95,1899620,https://store.steampowered.com/app/1899620/Outdoor_Adventures_With_Marisa_Kirisame/
Gensokyo Defenders,70,"5,99€","19,99€","Action, Strategy, Tower Defense, Anime",Very Positive,95,1019920,https://store.steampowered.com/app/1019920/Gensokyo_Defenders/
Invasion of The Halloween Fiends,70,"1,04€","3,49€","Horror, Thriller, Dark Comedy, 1990's",Very Positive,95,3070370,https://store.steampowered.com/app/3070370/Invasion_of_The_Halloween_Fiends/
Cavity Busters,70,"3,83€","12,79€","Bullet Hell, Roguelite, Shoot 'Em Up, Difficult",Very Positive,95,1084220,https://store.steampowered.com/app/1084220/Cavity_Busters/
Howl,70,"2,99€","9,99€","Turn-Based Strategy, Strategy, Stylized, Puzzle",Very Positive,95,2172180,https://store.steampowered.com/app/2172180/Howl/
INVERT,70,"0,59€","1,99€","Strategy, Casual, Sandbox, Board Game",Very Positive,95,1774700,https://store.steampowered.com/app/1774700/INVERT/
Human Fall Flat,70,"5,99€","19,99€","Co-op, Funny, Puzzle, Multiplayer",Overwhelmingly Positive,95,477160,https://store.steampowered.com/app/477160/Human_Fall_Flat/
Against the Storm,70,"8,99€","29,99€","Strategy, City Builder, Simulation, Base Building",Overwhelmingly Positive,95,1336490,https://store.steampowered.com/app/1336490/Against_the_Storm/
Into the Breach,70,"4,49€","14,99€","Strategy, Turn-Based Strategy, Indie, Turn-Based Tactics",Very Positive,93,590380,https://store.steampowered.com/app/590380/Into_the_Breach/
PlateUp!,70,"5,85€","19,50€","Co-op, Management, Cooking, Local Co-Op",Overwhelmingly Positive,96,1599600,https://store.steampowered.com/app/1599600/PlateUp/
Farm Together,70,"5,99€","19,99€","Agriculture, Multiplayer, Simulation, Relaxing",Very Positive,92,673950,https://store.steampowered.com/app/673950/Farm_Together/
Empires of the Undergrowth,70,"8,99€","29,99€","Strategy, Simulation, City Builder, Base Building",Overwhelmingly Positive,95,463530,https://store.steampowered.com/app/463530/Empires_of_the_Undergrowth/
Anomaly Agent,70,"3,53€","11,79€","2D Platformer, Side Scroller, Action Roguelike, Hack and Slash",Very Positive,94,2378620,https://store.steampowered.com/app/2378620/Anomaly_Agent/
Turbo Overkill,70,"5,85€","19,50€","FPS, Boomer Shooter, Action, Shooter",Overwhelmingly Positive,95,1328350,https://store.steampowered.com/app/1328350/Turbo_Overkill/
Wuppo: Definitive Edition,70,"4,49€","14,99€","Metroidvania, Exploration, Platformer, 2D",Very Positive,93,400630,https://store.steampowered.com/app/400630/Wuppo_Definitive_Edition/
SENRAN KAGURA ESTIVAL VERSUS,70,"8,99€","29,99€","Nudity, Sexual Content, Anime, 3D Fighter",Very Positive,94,502800,https://store.steampowered.com/app/502800/SENRAN_KAGURA_ESTIVAL_VERSUS/
DARQ: Complete Edition,70,"5,03€","16,79€","Horror, Dark, Adventure, Puzzle",Very Positive,94,433550,https://store.steampowered.com/app/433550/DARQ_Complete_Edition/
HYPER DEMON,70,"3,74€","12,49€","FPS, Fast-Paced, Arena Shooter, Difficult",Very Positive,94,1743850,https://store.steampowered.com/app/1743850/HYPER_DEMON/
Megadimension Neptunia VII,70,"5,85€","19,50€","Anime, JRPG, Female Protagonist, Cute",Very Positive,92,460120,https://store.steampowered.com/app/460120/Megadimension_Neptunia_VII/
The Chrono Jotter,70,"2,99€","9,99€","Visual Novel, Female Protagonist, Indie, LGBTQ+",Very Positive,94,1398740,https://store.steampowered.com/app/1398740/The_Chrono_Jotter/
A Monster's Expedition,70,"5,99€","19,99€","Puzzle, Open World, Adventure, Sokoban",Very Positive,94,1052990,https://store.steampowered.com/app/1052990/A_Monsters_Expedition/
Baldr Sky,70,"14,69€","48,99€","Visual Novel, Mechs, Cyberpunk, Sci-fi",Very Positive,94,741140,https://store.steampowered.com/app/741140/Baldr_Sky/
Zueirama,70,"1,70€","5,69€","Adventure, Indie, Casual, Pixel Graphics",Very Positive,94,952290,https://store.steampowered.com/app/952290/Zueirama/
Kero Blaster,70,"2,99€","9,99€","Side Scroller, Platformer, Shoot 'Em Up, Difficult",Very Positive,94,292500,https://store.steampowered.com/app/292500/Kero_Blaster/
Technobabylon,70,"4,49€","14,99€","Point & Click, Adventure, Cyberpunk, Pixel Graphics",Very Positive,94,307580,https://store.steampowered.com/app/307580/Technobabylon/
A Fisherman's Tale,70,"2,99€","9,99€","VR, Puzzle, Adventure, Physics",Very Positive,94,559330,https://store.steampowered.com/app/559330/A_Fishermans_Tale/
Burnhouse Lane,70,"4,19€","13,99€","Adventure, Puzzle, Action-Adventure, Side Scroller",Very Positive,94,1846460,https://store.steampowered.com/app/1846460/Burnhouse_Lane/
Rush Rally 3,70,"4,43€","14,79€","Racing, Arcade, Driving, Simulation",Very Positive,94,2020860,https://store.steampowered.com/app/2020860/Rush_Rally_3/
Golf Around!,70,"2,92€","9,75€","Mini Golf, Golf, Funny, Level Editor",Very Positive,94,1086410,https://store.steampowered.com/app/1086410/Golf_Around/
Rise of the Triad: Ludicrous Edition,70,"5,85€","19,50€","Boomer Shooter, FPS, Arena Shooter, Collectathon",Very Positive,94,1421490,https://store.steampowered.com/app/1421490/Rise_of_the_Triad_Ludicrous_Edition/
Dread X Collection 2,70,"2,45€","8,19€","Horror, Lovecraftian, Psychological Horror, Survival Horror",Very Positive,94,1380390,https://store.steampowered.com/app/1380390/Dread_X_Collection_2/
Stick it to The Man!,70,"2,24€","7,49€","Adventure, Platformer, Indie, Comedy",Very Positive,94,251830,https://store.steampowered.com/app/251830/Stick_it_to_The_Man/
Dodgeball Academia,70,"7,49€","24,99€","Action, RPG, Adventure, Sports",Very Positive,94,1422420,https://store.steampowered.com/app/1422420/Dodgeball_Academia/
Maitetsu,70,"4,43€","14,79€","Cute, Funny, Anime, Visual Novel",Very Positive,94,714800,https://store.steampowered.com/app/714800/Maitetsu/
Rush Rally Origins,70,"4,43€","14,79€","Racing, Automation, Sports, Driving",Very Positive,94,1728660,https://store.steampowered.com/app/1728660/Rush_Rally_Origins/
KUNKUN Defender 2,70,"1,49€","4,99€","Action, Horror, Memes, Survival Horror",Very Positive,94,3585310,https://store.steampowered.com/app/3585310/KUNKUN_Defender_2/
Bonfire Peaks,70,"5,99€","19,99€","Puzzle, Sokoban, Difficult, Indie",Very Positive,94,1147890,https://store.steampowered.com/app/1147890/Bonfire_Peaks/
Silicon Dreams  |  cyberpunk interrogation,70,"4,49€","14,99€","Choices Matter, Story Rich, Investigation, Cyberpunk",Very Positive,94,1272070,https://store.steampowered.com/app/1272070/Silicon_Dreams____cyberpunk_interrogation/
The Elision Effect,70,"0,89€","2,99€","Short, Atmospheric, Puzzle, Surreal",Very Positive,94,2621420,https://store.steampowered.com/app/2621420/The_Elision_Effect/
Grisaia Phantom Trigger Vol.2,70,"4,49€","14,99€","Visual Novel, Violent, Casual, Adventure",Very Positive,94,606520,https://store.steampowered.com/app/606520/Grisaia_Phantom_Trigger_Vol2/
Lady in Mystery,70,"6,29€","20,99€","Visual Novel, LGBTQ+, Female Protagonist, Romance",Very Positive,94,1578950,https://store.steampowered.com/app/1578950/Lady_in_Mystery/
Skator Gator,70,"0,71€","2,39€","Side Scroller, Skateboarding, Action, Platformer",Very Positive,94,1760240,https://store.steampowered.com/app/1760240/Skator_Gator/
Button City,70,"5,03€","16,79€","Arcade, Point & Click, Funny, Adventure",Very Positive,94,1273750,https://store.steampowered.com/app/1273750/Button_City/
Before The Green Moon,70,"3,53€","11,79€","Sci-fi, Farming, Nature, Story Rich",Very Positive,94,2323580,https://store.steampowered.com/app/2323580/Before_The_Green_Moon/
Mibibli's Quest,70,"1,49€","4,99€","Action, Indie, Platformer, Surreal",Very Positive,94,453990,https://store.steampowered.com/app/453990/Mibiblis_Quest/
Bem Feito,70,"2,92€","9,75€","Indie, Pixel Graphics, Story Rich, Psychological Horror",Very Positive,94,2368190,https://store.steampowered.com/app/2368190/Bem_Feito/
Dark Strokes: The Legend of the Snow Kingdom Collector’s Edition,70,"2,69€","8,99€","Indie, Casual, Adventure, Hidden Object",Very Positive,94,765690,https://store.steampowered.com/app/765690/Dark_Strokes_The_Legend_of_the_Snow_Kingdom_Collectors_Edition/
Hell of a Birthday,70,"1,19€","3,99€","Adventure, Casual, Interactive Fiction, Walking Simulator",Very Positive,94,3416450,https://store.steampowered.com/app/3416450/Hell_of_a_Birthday/
Definitely Sneaky But Not Sneaky,70,"1,49€","4,99€","Action, Indie, Top-Down, Bullet Time",Very Positive,94,954010,https://store.steampowered.com/app/954010/Definitely_Sneaky_But_Not_Sneaky/
Hanoi Puzzles: Solid Match,70,"0,89€","2,99€","Puzzle, Match 3, Hex Grid, Board Game",Very Positive,94,1307880,https://store.steampowered.com/app/1307880/Hanoi_Puzzles_Solid_Match/
Judgment,70,"11,99€","39,99€","Action, Adventure, Beat 'em up, Action-Adventure",Very Positive,94,2058180,https://store.steampowered.com/app/2058180/Judgment/
Samorost 3,70,"5,99€","19,99€","Point & Click, Hand-drawn, Relaxing, Story Rich",Very Positive,94,421120,https://store.steampowered.com/app/421120/Samorost_3/
Wolfenstein 3D,70,"1,49€","4,99€","FPS, Retro, World War II, Action",Very Positive,92,2270,https://store.steampowered.com/app/2270/Wolfenstein_3D/
SENRAN KAGURA Burst Re:Newal,70,"8,99€","29,99€","Anime, Sexual Content, Action, Nudity",Very Positive,94,889510,https://store.steampowered.com/app/889510/SENRAN_KAGURA_Burst_ReNewal/
12 Labours of Hercules,70,"0,89€","2,99€","Casual, Time Management, Strategy, Singleplayer",Very Positive,90,342580,https://store.steampowered.com/app/342580/12_Labours_of_Hercules/
"Peace, Death!",70,"1,34€","4,49€","Indie, Funny, Casual, Pixel Graphics",Very Positive,89,588690,https://store.steampowered.com/app/588690/Peace_Death/
Dungeons of Hinterberg,70,"6,89€","22,99€","Relaxing, Puzzle, Exploration, Adventure",Very Positive,94,1983260,https://store.steampowered.com/app/1983260/Dungeons_of_Hinterberg/
Ys: The Oath in Felghana,70,"3,59€","11,99€","Action, Great Soundtrack, RPG, JRPG",Very Positive,93,207320,https://store.steampowered.com/app/207320/Ys_The_Oath_in_Felghana/
Intrusion 2,70,"2,39€","7,99€","Action, Indie, Platformer, 2D",Very Positive,93,214970,https://store.steampowered.com/app/214970/Intrusion_2/
Showgunners,70,"8,69€","28,99€","Turn-Based Tactics, Turn-Based Combat, Tactical, Turn-Based Strategy",Very Positive,93,1155330,https://store.steampowered.com/app/1155330/Showgunners/
Mundaun,70,"5,54€","18,49€","Walking Simulator, Psychological Horror, Hand-drawn, Horror",Very Positive,93,720350,https://store.steampowered.com/app/720350/Mundaun/
Marble It Up! Ultra,70,"8,99€","29,99€","3D Platformer, Fast-Paced, Physics, Racing",Very Positive,93,864060,https://store.steampowered.com/app/864060/Marble_It_Up_Ultra/
BZZZT,70,"3,53€","11,79€","Precision Platformer, Pixel Graphics, Score Attack, 2D Platformer",Very Positive,93,1293170,https://store.steampowered.com/app/1293170/BZZZT/
Strangeland,70,"3,74€","12,49€","Adventure, Point & Click, Pixel Graphics, Story Rich",Very Positive,93,1369520,https://store.steampowered.com/app/1369520/Strangeland/
rFactor,70,"6,89€","22,99€","Racing, Simulation, Sports, Automobile Sim",Very Positive,93,339790,https://store.steampowered.com/app/339790/rFactor/
Ikenfell,70,"5,99€","19,99€","Indie, RPG, LGBTQ+, Pixel Graphics",Very Positive,93,854940,https://store.steampowered.com/app/854940/Ikenfell/
Blackwell Unbound,70,"1,34€","4,49€","Point & Click, Adventure, Indie, Female Protagonist",Very Positive,93,80340,https://store.steampowered.com/app/80340/Blackwell_Unbound/
Agatha Knife,70,"3,53€","11,79€","Indie, Adventure, Point & Click, Female Protagonist",Very Positive,93,618950,https://store.steampowered.com/app/618950/Agatha_Knife/
Sokobond,70,"4,43€","14,79€","Sokoban, Science, Difficult, Puzzle",Very Positive,93,290260,https://store.steampowered.com/app/290260/Sokobond/
Tanuki Sunset,70,"3,74€","12,49€","Racing, Action, Indie, Sports",Very Positive,93,1251460,https://store.steampowered.com/app/1251460/Tanuki_Sunset/
Dynopunk,70,"4,43€","14,79€","Crafting, Visual Novel, Management, Dinosaurs",Very Positive,93,1596730,https://store.steampowered.com/app/1596730/Dynopunk/
Geneforge 1 - Mutagen,70,"5,03€","16,79€","CRPG, RPG, Dungeon Crawler, Turn-Based",Very Positive,93,1424710,https://store.steampowered.com/app/1424710/Geneforge_1__Mutagen/
Let's! Revolution!,70,"5,85€","19,50€","Turn-Based Tactics, Dungeon Crawler, Roguelite, Puzzle",Very Positive,93,2111090,https://store.steampowered.com/app/2111090/Lets_Revolution/
Jumps,70,"2,06€","6,89€","Indie, Action, Racing, Parkour",Very Positive,93,544310,https://store.steampowered.com/app/544310/Jumps/
Operation Warcade VR,70,"5,99€","19,99€","Action, Simulation, Indie, VR",Very Positive,93,639270,https://store.steampowered.com/app/639270/Operation_Warcade_VR/
Godrop,70,"2,63€","8,79€","Action Roguelike, Cute, Female Protagonist, Spaceships",Very Positive,93,2657310,https://store.steampowered.com/app/2657310/Godrop/
Shapik: The Moon Quest,70,"1,97€","6,59€","Adventure, Indie, Casual, Point & Click",Very Positive,93,1073810,https://store.steampowered.com/app/1073810/Shapik_The_Moon_Quest/
Maskmaker,70,"2,99€","9,99€","VR, Adventure, Puzzle, Stylized",Very Positive,93,1337530,https://store.steampowered.com/app/1337530/Maskmaker/
Avernum 2: Crystal Souls,70,"5,99€","19,99€","RPG, Indie, Strategy, Adventure",Very Positive,93,337850,https://store.steampowered.com/app/337850/Avernum_2_Crystal_Souls/
Please Knock on My Door,70,"3,89€","12,99€","Indie, Singleplayer, Story Rich, Emotional",Very Positive,93,613450,https://store.steampowered.com/app/613450/Please_Knock_on_My_Door/
NIDUS,70,"2,63€","8,79€","Psychedelic, Bullet Hell, Arcade, Twin Stick Shooter",Very Positive,93,2372170,https://store.steampowered.com/app/2372170/NIDUS/
Ethel,70,"2,06€","6,89€","Horror, Exploration, Multiple Endings, Puzzle",Very Positive,93,2852930,https://store.steampowered.com/app/2852930/Ethel/
Berserk Mode,70,"1,97€","6,59€","Action Roguelike, First-Person, Hack and Slash, Retro",Very Positive,93,1649630,https://store.steampowered.com/app/1649630/Berserk_Mode/
The Abandoned Planet,70,"4,43€","14,79€","Exploration, Puzzle, Point & Click, Female Protagonist",Very Positive,93,2014470,https://store.steampowered.com/app/2014470/The_Abandoned_Planet/
Moonlight Pulse,70,"3,53€","11,79€","Action, Metroidvania, Surreal, Exploration",Very Positive,93,2243250,https://store.steampowered.com/app/2243250/Moonlight_Pulse/
Supercharged Robot VULKAISER,70,"1,49€","4,99€","Action, Indie, Shoot 'Em Up, Anime",Very Positive,93,349680,https://store.steampowered.com/app/349680/Supercharged_Robot_VULKAISER/
Whisker Wanderlust: The Wondrous Journey,70,"2,06€","6,89€","Cats, Hidden Object, Emotional, Collectathon",Very Positive,93,3603580,https://store.steampowered.com/app/3603580/Whisker_Wanderlust_The_Wondrous_Journey/
Grisaia Phantom Trigger Vol.3,70,"4,49€","14,99€","Visual Novel, Anime, Cute, Casual",Very Positive,93,658530,https://store.steampowered.com/app/658530/Grisaia_Phantom_Trigger_Vol3/
12 Labours of Hercules VII: Fleecing the Fleece (Platinum Edition),70,"0,89€","2,99€","Casual, Strategy, Indie, Time Management",Very Positive,93,663210,https://store.steampowered.com/app/663210/12_Labours_of_Hercules_VII_Fleecing_the_Fleece_Platinum_Edition/
Spectator,70,"2,77€","9,25€","Horror, Point & Click, Psychological Horror, Dark",Very Positive,93,2132450,https://store.steampowered.com/app/2132450/Spectator/
Idol Magical Girl Chiru Chiru Michiru Part 1,70,"5,99€","19,99€","Visual Novel, Anime, Female Protagonist, Magic",Very Positive,93,377710,https://store.steampowered.com/app/377710/Idol_Magical_Girl_Chiru_Chiru_Michiru_Part_1/
Fluffy Cubed,70,"0,59€","1,99€","Casual, Strategy, Sandbox, Board Game",Very Positive,93,1656600,https://store.steampowered.com/app/1656600/Fluffy_Cubed/
Not Another Weekend,70,"2,99€","9,99€","Adventure, Point & Click, Pixel Graphics, Puzzle",Very Positive,93,1432200,https://store.steampowered.com/app/1432200/Not_Another_Weekend/
SAOMI,70,"0,89€","2,99€","Action, Adventure, Platformer, Action-Adventure",Very Positive,93,1885670,https://store.steampowered.com/app/1885670/SAOMI/
Kandria,70,"5,03€","16,79€","2D Platformer, Exploration, Female Protagonist, Hack and Slash",Very Positive,93,1261430,https://store.steampowered.com/app/1261430/Kandria/
JUMPGRID,70,"0,94€","3,15€","Difficult, Fast-Paced, Action, Indie",Very Positive,93,942060,https://store.steampowered.com/app/942060/JUMPGRID/
Paper Ghost Stories: Third Eye Open,70,"5,09€","16,99€","Supernatural, Story Rich, Adventure, Thriller",Very Positive,93,1983300,https://store.steampowered.com/app/1983300/Paper_Ghost_Stories_Third_Eye_Open/
OREBLAZE,70,"1,49€","4,99€","Mining, Retro, Dwarves, Underground",Very Positive,93,3391190,https://store.steampowered.com/app/3391190/OREBLAZE/
Cities: Skylines,70,"8,39€","27,99€","City Builder, Simulation, Building, Management",Very Positive,92,255710,https://store.steampowered.com/app/255710/Cities_Skylines/
The Outlast Trials,70,"11,69€","38,99€","Horror, Multiplayer, Co-op, Survival Horror",Very Positive,94,1304930,https://store.steampowered.com/app/1304930/The_Outlast_Trials/
Alien: Isolation,70,"11,99€","39,99€","Horror, Survival Horror, Sci-fi, Aliens",Very Positive,92,214490,https://store.steampowered.com/app/214490/Alien_Isolation/
Bayonetta,70,"5,99€","19,99€","Action, Female Protagonist, Hack and Slash, Sexual Content",Very Positive,92,460790,https://store.steampowered.com/app/460790/Bayonetta/
Dome Keeper,70,"5,39€","17,99€","Singleplayer, Post-apocalyptic, Roguelike, Action",Very Positive,93,1637320,https://store.steampowered.com/app/1637320/Dome_Keeper/
Viscera Cleanup Detail,70,"3,83€","12,79€","Simulation, Gore, Multiplayer, Cleaning",Very Positive,92,246900,https://store.steampowered.com/app/246900/Viscera_Cleanup_Detail/
Turmoil,70,"3,89€","12,99€","Management, Mining, Strategy, Time Management",Very Positive,92,361280,https://store.steampowered.com/app/361280/Turmoil/
Little Misfortune,70,"5,03€","16,79€","Psychological Horror, Point & Click, Indie, Story Rich",Very Positive,90,714120,https://store.steampowered.com/app/714120/Little_Misfortune/
Suzerain,70,"5,69€","18,99€","Visual Novel, Choose Your Own Adventure, Political Sim, Political",Very Positive,93,1207650,https://store.steampowered.com/app/1207650/Suzerain/
Citizen Sleeper,70,"5,85€","19,50€","RPG, Dialogue Heavy, Story Rich, Dice",Very Positive,93,1578650,https://store.steampowered.com/app/1578650/Citizen_Sleeper/
Pit People®,70,"5,99€","19,99€","Turn-Based Combat, Online Co-Op, 2D, Funny",Very Positive,92,291860,https://store.steampowered.com/app/291860/Pit_People/
Shin Megami Tensei V: Vengeance,70,"17,99€","59,99€","JRPG, RPG, Story Rich, Demons",Overwhelmingly Positive,95,1875830,https://store.steampowered.com/app/1875830/Shin_Megami_Tensei_V_Vengeance/
Fate/EXTELLA LINK,70,"14,99€","49,99€","Anime, Action, Hack and Slash, Musou",Very Positive,93,622220,https://store.steampowered.com/app/622220/FateEXTELLA_LINK/
Weird RPG,70,"2,69€","8,99€","RPG, Action, Action RPG, Singleplayer",Very Positive,85,1902710,https://store.steampowered.com/app/1902710/Weird_RPG/
Outpath,70,"4,43€","14,79€","Simulation, Base Building, Crafting, Pixel Graphics",Very Positive,93,2237970,https://store.steampowered.com/app/2237970/Outpath/
No Time to Relax,70,"3,47€","11,59€","Multiplayer, Board Game, 4 Player Local, Funny",Very Positive,91,829660,https://store.steampowered.com/app/829660/No_Time_to_Relax/
Dreaming Sarah,70,"1,49€","4,99€","Metroidvania, Puzzle Platformer, Exploration, Casual",Very Positive,90,296870,https://store.steampowered.com/app/296870/Dreaming_Sarah/
Little Noah: Scion of Paradise,70,"4,49€","14,99€","Action Roguelike, Exploration, Roguelite, Dungeon Crawler",Very Positive,95,1883260,https://store.steampowered.com/app/1883260/Little_Noah_Scion_of_Paradise/
Kingsway,70,"2,99€","9,99€","RPG, Adventure, Roguelike, Simulation",Very Positive,92,588950,https://store.steampowered.com/app/588950/Kingsway/
Bright Lights of Svetlov,70,"1,19€","3,99€","Walking Simulator, 1980s, Atmospheric, First-Person",Very Positive,92,1630920,https://store.steampowered.com/app/1630920/Bright_Lights_of_Svetlov/
Touhou: Scarlet Curiosity,70,"4,49€","14,99€","Bullet Hell, Action, Anime, Female Protagonist",Very Positive,92,845880,https://store.steampowered.com/app/845880/Touhou_Scarlet_Curiosity/
Templar Battleforce,70,"2,92€","9,75€","Turn-Based Tactics, Tactical RPG, Perma Death, Difficult",Very Positive,92,370020,https://store.steampowered.com/app/370020/Templar_Battleforce/
Superdimension Neptune VS Sega Hard Girls,70,"5,85€","19,50€","RPG, Action, Anime, JRPG",Very Positive,92,571530,https://store.steampowered.com/app/571530/Superdimension_Neptune_VS_Sega_Hard_Girls/
Dordogne,70,"4,49€","14,99€","Narrative, Wholesome, Cute, Casual",Very Positive,92,1272840,https://store.steampowered.com/app/1272840/Dordogne/
A Guidebook of Babel,70,"4,43€","14,79€","Adventure, Story Rich, Time Manipulation, Puzzle",Very Positive,92,1467920,https://store.steampowered.com/app/1467920/A_Guidebook_of_Babel/
EarthX,70,"5,99€","19,99€","Simulation, Indie, Strategy, Space",Very Positive,92,1069030,https://store.steampowered.com/app/1069030/EarthX/
Fuck You Witch,70,"2,92€","9,75€","Horror, Story Rich, Psychological Horror, Atmospheric",Very Positive,92,2736020,https://store.steampowered.com/app/2736020/Fuck_You_Witch/
Danmaku Unlimited 2,70,"1,49€","4,99€","Bullet Hell, Shoot 'Em Up, Indie, Action",Very Positive,92,280560,https://store.steampowered.com/app/280560/Danmaku_Unlimited_2/
I commissioned some bees,70,"0,59€","1,99€","Point & Click, Hidden Object, Casual, Stylized",Very Positive,92,1996420,https://store.steampowered.com/app/1996420/I_commissioned_some_bees/
Hidden Object Bundle 4 in 1,70,"2,39€","7,99€","Casual, Hidden Object, Point & Click, Adventure",Very Positive,92,347610,https://store.steampowered.com/app/347610/Hidden_Object_Bundle_4_in_1/
Dread X Collection 3,70,"2,45€","8,19€","Survival Horror, Horror, Indie, Action-Adventure",Very Positive,92,1437500,https://store.steampowered.com/app/1437500/Dread_X_Collection_3/
Grisaia Phantom Trigger Vol.1,70,"4,49€","14,99€","Visual Novel, Casual, Adventure, Anime",Very Positive,92,606510,https://store.steampowered.com/app/606510/Grisaia_Phantom_Trigger_Vol1/
illWill,70,"5,85€","19,50€","Boomer Shooter, FPS, Spectacle fighter, Psychedelic",Very Positive,92,1567000,https://store.steampowered.com/app/1567000/illWill/
Saku Saku: Love Blooms with the Cherry Blossoms,70,"5,85€","19,50€","Visual Novel, Sexual Content, Casual, Nudity",Very Positive,92,691150,https://store.steampowered.com/app/691150/Saku_Saku_Love_Blooms_with_the_Cherry_Blossoms/
Circa Infinity,70,"2,99€","9,99€","Precision Platformer, 2D Platformer, Indie, Action",Very Positive,92,390610,https://store.steampowered.com/app/390610/Circa_Infinity/
Slay the Minotaur,70,"1,49€","4,99€","Action Roguelike, Hack and Slash, Dungeon Crawler, Roguelite",Very Positive,92,2510850,https://store.steampowered.com/app/2510850/Slay_the_Minotaur/
