Nazwa,Znizka %,Cena,Cena pierwotna,Tagi,Opinie,% pozytywnych,AppID,Link
Legends of Savvarah: Time of Pariah,45,"3,23€","5,89€","RPG, Choose Your Own Adventure, Interactive Fiction, Story Rich",Very Positive,96,2416500,https://store.steampowered.com/app/2416500/Legends_of_Savvarah_Time_of_Pariah/
Band Camp Boyfriend,45,"10,72€","19,50€","Dating Sim, Otome, Female Protagonist, Choices Matter",Very Positive,96,1972050,https://store.steampowered.com/app/1972050/Band_Camp_Boyfriend/
Among Ashes,45,"8,13€","14,79€","Horror, Psychological Horror, Survival Horror, First-Person",Very Positive,95,2430900,https://store.steampowered.com/app/2430900/Among_Ashes/
Knights Within,45,"9,61€","17,49€","Early Access, Action Roguelike, Hack and Slash, Third-Person Shooter",Very Positive,95,2406180,https://store.steampowered.com/app/2406180/Knights_Within/
Haruka Ao no Hanayome ni,45,"15,94€","28,99€","Casual, Adventure, Dating Sim, Visual Novel",Very Positive,95,2947230,https://store.steampowered.com/app/2947230/Haruka_Ao_no_Hanayome_ni/
(the) Gnorp Apologue,45,"3,12€","5,69€","Incremental, Idler, Strategy, Building",Overwhelmingly Positive,95,1473350,https://store.steampowered.com/app/1473350/the_Gnorp_Apologue/
Behind the Frame: The Finest Scenery,45,"6,75€","12,29€","Atmospheric, Singleplayer, Story Rich, Puzzle",Very Positive,93,1634150,https://store.steampowered.com/app/1634150/Behind_the_Frame_The_Finest_Scenery/
Dollmare,45,"2,74€","4,99€","Simulation, Horror, 3D, Psychological Horror",Very Positive,94,2793710,https://store.steampowered.com/app/2793710/Dollmare/
House of Necrosis,45,"6,48€","11,79€","RPG, Mystery Dungeon, Horror, Retro",Very Positive,94,2005870,https://store.steampowered.com/app/2005870/House_of_Necrosis/
KAMITSUBAKI CITY REGENERATE,45,"18,69€","33,99€","Adventure, Dark Fantasy, Multiple Endings, Choose Your Own Adventure",Very Positive,94,2353340,https://store.steampowered.com/app/2353340/KAMITSUBAKI_CITY_REGENERATE/
FLATHEAD,45,"1,09€","1,99€","Psychological Horror, Puzzle, Lovecraftian, Strategy",Very Positive,94,2840480,https://store.steampowered.com/app/2840480/FLATHEAD/
Mosaic of the Strange,45,"7,03€","12,79€","Incremental, Casual, Collectathon, Puzzle",Very Positive,94,3444650,https://store.steampowered.com/app/3444650/Mosaic_of_the_Strange/
Furry Adventure Club and the Holy Grail 🦁,45,"3,78€","6,89€","Incremental, Hentai, Puzzle, Visual Novel",Very Positive,94,3057290,https://store.steampowered.com/app/3057290/Furry_Adventure_Club_and_the_Holy_Grail/
Gilded Shadows,45,"15,94€","28,99€","Otome, Visual Novel, Casual, Romance",Very Positive,94,1875950,https://store.steampowered.com/app/1875950/Gilded_Shadows/
oath,45,"1,64€","2,99€","Casual, Software, Interactive Fiction, Visual Novel",Very Positive,94,3104030,https://store.steampowered.com/app/3104030/oath/
The Hungry Fly,45,"5,21€","9,49€","Adventure, Horror, Surreal, Psychological Horror",Very Positive,94,2107180,https://store.steampowered.com/app/2107180/The_Hungry_Fly/
Gunfire Reborn,45,"9,23€","16,79€","Roguelite, FPS, Roguelike, Online Co-Op",Overwhelmingly Positive,95,1217060,https://store.steampowered.com/app/1217060/Gunfire_Reborn/
The Jackbox Party Pack 5,45,"16,49€","29,99€","Casual, Local Multiplayer, Comedy, Trivia",Very Positive,93,774461,https://store.steampowered.com/app/774461/The_Jackbox_Party_Pack_5/
Lagoon Lounge : The Poisonous Fountain,45,"7,58€","13,79€","Sexual Content, LGBTQ+, Nudity, Visual Novel",Very Positive,93,857690,https://store.steampowered.com/app/857690/Lagoon_Lounge__The_Poisonous_Fountain/
Up Left Out,45,"1,64€","2,99€","Puzzle, Minimalist, Relaxing, Singleplayer",Very Positive,93,867380,https://store.steampowered.com/app/867380/Up_Left_Out/
Coffee flavor of love 咖啡甜恋,45,"1,80€","3,29€","Casual, Adventure, RPG, Interactive Fiction",Very Positive,93,1508920,https://store.steampowered.com/app/1508920/Coffee_flavor_of_love/
Animated Puzzles,45,"5,49€","9,99€","Puzzle, Casual, Family Friendly, Touch-Friendly",Very Positive,93,379610,https://store.steampowered.com/app/379610/Animated_Puzzles/
Aeon on Mosaic: Anemone 时间碎片：奇迹,45,"0,87€","1,59€","Adventure, Visual Novel, Romance, Mystery",Very Positive,93,1334020,https://store.steampowered.com/app/1334020/Aeon_on_Mosaic_Anemone/
GentleMoon 2,45,"1,64€","2,99€","Indie, Action, Funny",Very Positive,93,488890,https://store.steampowered.com/app/488890/GentleMoon_2/
Wonderful Everyday Down the Rabbit-Hole,45,"15,39€","27,99€","Visual Novel, Psychological Horror, Philosophical, Story Rich",Very Positive,90,658620,https://store.steampowered.com/app/658620/Wonderful_Everyday_Down_the_RabbitHole/
Pocket Mirror ~ GoldenerTraum,45,"10,72€","19,50€","Horror, RPG, Adventure, Pixel Graphics",Very Positive,92,1899060,https://store.steampowered.com/app/1899060/Pocket_Mirror__GoldenerTraum/
Paper Bride 3 Unresolved Love,45,"4,50€","8,19€","Exploration, Puzzle Platformer, 2D Platformer, Incremental",Very Positive,92,1939790,https://store.steampowered.com/app/1939790/Paper_Bride_3_Unresolved_Love/
Shardpunk,45,"7,58€","13,79€","Tactical RPG, Survival, Turn-Based Tactics, Retro",Very Positive,92,1183800,https://store.steampowered.com/app/1183800/Shardpunk/
Monster Care Simulator,45,"7,03€","12,79€","Simulation, Management, Creature Collector, Online Co-Op",Very Positive,92,3288270,https://store.steampowered.com/app/3288270/Monster_Care_Simulator/
Turbo Kid,45,"10,72€","19,50€","Gore, Action, Nonlinear, 2D Platformer",Very Positive,92,1733250,https://store.steampowered.com/app/1733250/Turbo_Kid/
The Stalked,45,"1,64€","2,99€","Horror, Atmospheric, Thriller, Dark",Very Positive,92,2587770,https://store.steampowered.com/app/2587770/The_Stalked/
Airships: Lost Flotilla,45,"4,83€","8,79€","Arcade, Roguelike, Singleplayer, Action Roguelike",Very Positive,92,2858150,https://store.steampowered.com/app/2858150/Airships_Lost_Flotilla/
Midnight Girl,45,"8,13€","14,79€","Casual, Adventure, Point & Click, Puzzle",Very Positive,92,1578990,https://store.steampowered.com/app/1578990/Midnight_Girl/
